Business_Id_B,Business_Name_B,Author_Id_F,Author_Name_F,Form_Id_F,Form_Name_F,File_Id_F,File_Name_F,Section_Id_F,Data_Section_Id_F,Parent_Data_Section_Id_F,Section_Id_338_H1,Data_Section_Id_338_H1,SiteID_H1,Transect_H1,Date_H1,Start_time_H1,Observer_H1...18,ObserverOther_H1,Observer_H1...20,GPS_H1,Weather_H1,Temp_C_H1,Section_Id_339_H2,Data_Section_Id_339_H2,P1 Vis_rank_H2,P2 Vis_rank_H2,P3 Vis_rank_H2,P4 Vis_rank_H2,P5 Vis_rank_H2,P6 Vis_rank_H2,End_time_H2,Notes_H2,Section_Id_340_I3,Data_Section_Id_340_I3,Animal_I3,AnimObsTime_I3,SeenHeard_I3,Species_I3,Animal_sp_other_I3,L or R of trans_I3,Waypoint no._I3,Distance to animal_I3,Bearing to A._I3,Dist_F_Transect_I3,Tree species_I3,Tree_sp_other_I3,SeenX2_I3,VBAUse_I3,Incidental_I3,Comments_I3
5,Arthur Rylah Institute,27,ARI,135,NA,112657,BBRR_F4,340,549509,0,338,549506,BBRR-4,NA,30/4/2021,22:15:04,Phoebe Macak,NA,2,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,6,339,549507,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:30:24,NA,340,549509,2,23:07:58,Seen,Southern Greater Glider,NA,Right,248,10,130,360,Peppermint sp.,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112657,BBRR_F4,340,549510,0,338,549506,BBRR-4,NA,30/4/2021,22:15:04,Phoebe Macak,NA,2,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,6,339,549507,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:30:24,NA,340,549510,3,23:07:58,Seen,Southern Greater Glider,NA,Right,248,10,130,360,Peppermint sp.,NA,No,NA,NA,dark- white chest
5,Arthur Rylah Institute,27,ARI,135,NA,112657,BBRR_F4,340,549511,0,338,549506,BBRR-4,NA,30/4/2021,22:15:04,Phoebe Macak,NA,2,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,6,339,549507,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:30:24,NA,340,549511,4,23:53:02,Seen,Mountain Brush-tailed Possum,NA,Left,249,2,280,60,Peppermint sp.,NA,No,NA,NA,saw on way back- on raised log- went up tree
5,Arthur Rylah Institute,27,ARI,135,NA,112656,BBRR_F4,340,549503,0,338,549501,BBRR-4,NA,30/4/2021,22:00:05,Other,Owen Lishmund,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,6,339,549502,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:15:18,Cold- clear and still. Some moonlight. Smoke from planned burn faintly visible through site.,340,549503,1,22:23:00,Heard,Sugar Glider,NA,Right,165,40,140,142,NA,NA,No,NA,NA,Heard yapping.
5,Arthur Rylah Institute,27,ARI,135,NA,112656,BBRR_F4,340,549504,0,338,549501,BBRR-4,NA,30/4/2021,22:00:05,Other,Owen Lishmund,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,6,339,549502,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:15:18,Cold- clear and still. Some moonlight. Smoke from planned burn faintly visible through site.,340,549504,2,22:56:34,Seen,Southern Greater Glider,NA,Right,166,26.6,145,371,E. dives,NA,Yes,NA,NA,Black and white individual seen high in canopy of Peppermint. Not moving from position.
5,Arthur Rylah Institute,27,ARI,135,NA,112656,BBRR_F4,340,549505,0,338,549501,BBRR-4,NA,30/4/2021,22:00:05,Other,Owen Lishmund,1,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,6,339,549502,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,23:15:18,Cold- clear and still. Some moonlight. Smoke from planned burn faintly visible through site.,340,549505,3,23:11:28,Heard,Sugar Glider,NA,Right,167,50,80,477,NA,NA,No,NA,NA,Heard yapping up the slope.
5,Arthur Rylah Institute,27,ARI,135,NA,112654,BBRR_F3,340,549494,0,338,549492,BBRR-3,NA,30/4/2021,18:51:00,Phoebe Macak,NA,1,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,10,339,549493,0-25%,26-50%,0-25%,26-50%,51-75%,26-50%,19:54:02,NA,340,549494,1,18:53:55,Seen,Southern Greater Glider,NA,Right,242,20,350,20,Gum sp.,NA,Yes,NA,NA,dark brown black white chest
5,Arthur Rylah Institute,27,ARI,135,NA,112654,BBRR_F3,340,549495,0,338,549492,BBRR-3,NA,30/4/2021,18:51:00,Phoebe Macak,NA,1,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,10,339,549493,0-25%,26-50%,0-25%,26-50%,51-75%,26-50%,19:54:02,NA,340,549495,2,19:15:35,Seen,Southern Greater Glider,NA,Left,243,20,190,145,Gum sp.,NA,No,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112654,BBRR_F3,340,549496,0,338,549492,BBRR-3,NA,30/4/2021,18:51:00,Phoebe Macak,NA,1,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,10,339,549493,0-25%,26-50%,0-25%,26-50%,51-75%,26-50%,19:54:02,NA,340,549496,3,19:22:18,Seen,Southern Greater Glider,NA,Left,244,25,270,180,Gum sp.,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112654,BBRR_F3,340,549497,0,338,549492,BBRR-3,NA,30/4/2021,18:51:00,Phoebe Macak,NA,1,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,10,339,549493,0-25%,26-50%,0-25%,26-50%,51-75%,26-50%,19:54:02,NA,340,549497,4,19:23:30,Seen,Yellow-bellied Glider,NA,Left,244,30,210,180,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112654,BBRR_F3,340,549498,0,338,549492,BBRR-3,NA,30/4/2021,18:51:00,Phoebe Macak,NA,1,Thr. Sp. 4,Cloud nil or light@-@Fine@-@Vis - Dark@-@Wind nil or light,10,339,549493,0-25%,26-50%,0-25%,26-50%,51-75%,26-50%,19:54:02,NA,340,549498,5,19:32:44,Seen,Mountain Brush-tailed Possum,NA,Left,246,15,220,228,Peppermint sp.,NA,No,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112653,BBRR_F3,340,549486,0,338,549484,BBRR-3,NA,30/4/2021,19:05:02,Other,Owen Lishmund,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,10,339,549485,0-25%,0-25%,0-25%,0-25%,51-75%,26-50%,20:12:00,Clear- cold and still. Thick undergrowth which significantly impaired visibility of the upper strata throughout the transect.,340,549486,1,19:07:26,Seen,Southern Greater Glider,NA,Right,159,21.4,330,22,Gum sp.,NA,Yes,NA,NA,Dark grey and white individual sitting out on branch of lower canopy of Gum. Not moving from position.
5,Arthur Rylah Institute,27,ARI,135,NA,112653,BBRR_F3,340,549487,0,338,549484,BBRR-3,NA,30/4/2021,19:05:02,Other,Owen Lishmund,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,10,339,549485,0-25%,0-25%,0-25%,0-25%,51-75%,26-50%,20:12:00,Clear- cold and still. Thick undergrowth which significantly impaired visibility of the upper strata throughout the transect.,340,549487,2,19:15:33,Seen,Southern Greater Glider,NA,Left,160,18.4,140,47,Gum sp.,NA,No,NA,NA,Black and white individual seen actively moving through lower canopy of Gum.
5,Arthur Rylah Institute,27,ARI,135,NA,112653,BBRR_F3,340,549488,0,338,549484,BBRR-3,NA,30/4/2021,19:05:02,Other,Owen Lishmund,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,10,339,549485,0-25%,0-25%,0-25%,0-25%,51-75%,26-50%,20:12:00,Clear- cold and still. Thick undergrowth which significantly impaired visibility of the upper strata throughout the transect.,340,549488,3,19:16:05,Heard,Yellow-bellied Glider,NA,Left,160,125,150,47,NA,NA,No,NA,NA,Heard distantly back across road.
5,Arthur Rylah Institute,27,ARI,135,NA,112653,BBRR_F3,340,549489,0,338,549484,BBRR-3,NA,30/4/2021,19:05:02,Other,Owen Lishmund,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,10,339,549485,0-25%,0-25%,0-25%,0-25%,51-75%,26-50%,20:12:00,Clear- cold and still. Thick undergrowth which significantly impaired visibility of the upper strata throughout the transect.,340,549489,4,19:18:38,Seen,Sugar Glider,NA,Left,160,7,220,47,NA,NA,No,NA,NA,Seen moving around lower branches of dead tree very close to transect.
5,Arthur Rylah Institute,27,ARI,135,NA,112653,BBRR_F3,340,549490,0,338,549484,BBRR-3,NA,30/4/2021,19:05:02,Other,Owen Lishmund,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,10,339,549485,0-25%,0-25%,0-25%,0-25%,51-75%,26-50%,20:12:00,Clear- cold and still. Thick undergrowth which significantly impaired visibility of the upper strata throughout the transect.,340,549490,5,19:26:10,Heard,Yellow-bellied Glider,NA,Left,161,70,245,102,NA,NA,Yes,NA,NA,Heard a fair way off transect.
5,Arthur Rylah Institute,27,ARI,135,NA,112653,BBRR_F3,340,549491,0,338,549484,BBRR-3,NA,30/4/2021,19:05:02,Other,Owen Lishmund,2,Other,Wind nil or light@-@Fine@-@Cloud nil or light@-@Vis - Dark,10,339,549485,0-25%,0-25%,0-25%,0-25%,51-75%,26-50%,20:12:00,Clear- cold and still. Thick undergrowth which significantly impaired visibility of the upper strata throughout the transect.,340,549491,6,19:40:43,Seen,Southern Greater Glider,NA,Left,162,24,200,201,E. dives,NA,Yes,NA,NA,Black and white individual sitting up high in Peppermint canopy. Not moving from position.
5,Arthur Rylah Institute,679,Daniel,135,NA,112610,BBRR_F15,340,549351,0,338,549349,BBRR-15,NA,30/4/2021,19:10:57,Dan Purdey,NA,NA,Other,Wind nil or light@-@Cloud nil or light,10,339,549350,NA,NA,NA,NA,NA,NA,19:59:04,NA,340,549351,1,19:26:35,Heard,Mountain Brush-tailed Possum,NA,Left,139,50,270,167,NA,NA,No,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112610,BBRR_F15,340,549352,0,338,549349,BBRR-15,NA,30/4/2021,19:10:57,Dan Purdey,NA,NA,Other,Wind nil or light@-@Cloud nil or light,10,339,549350,NA,NA,NA,NA,NA,NA,19:59:04,NA,340,549352,2,19:54:33,Heard,Southern Boobook,NA,Right,141,500,230,430,NA,NA,No,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112609,BBRR_F20,340,549347,0,338,549345,BBRR-20,NA,29/4/2021,22:01:49,Dan Purdey,NA,2,NA,Wind moderate@-@Cloud nil or light,9,339,549346,NA,NA,NA,NA,NA,NA,23:21:46,NA,340,549347,1,22:15:25,Seen,Southern Greater Glider,NA,Right,135,25,230,64,NA,NA,Yes,NA,NA,Gum spp
5,Arthur Rylah Institute,679,Daniel,135,NA,112609,BBRR_F20,340,549348,0,338,549345,BBRR-20,NA,29/4/2021,22:01:49,Dan Purdey,NA,2,NA,Wind moderate@-@Cloud nil or light,9,339,549346,NA,NA,NA,NA,NA,NA,23:21:46,NA,340,549348,2,22:15:25,Seen,Southern Greater Glider,NA,Right,135,25,230,64,NA,NA,Yes,NA,NA,Gum spp
5,Arthur Rylah Institute,679,Daniel,135,NA,112607,BBRR_F19,340,549340,0,338,549338,BBRR-19,NA,29/4/2021,19:45:05,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud nil or light,8,339,549339,NA,NA,NA,NA,NA,NA,20:35:47,NA,340,549340,1,19:57:20,Seen,Southern Greater Glider,NA,Left,131,29,90,100,Acacia sp.,NA,NA,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112607,BBRR_F19,340,549341,0,338,549338,BBRR-19,NA,29/4/2021,19:45:05,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud nil or light,8,339,549339,NA,NA,NA,NA,NA,NA,20:35:47,NA,340,549341,2,19:59:16,Heard,Yellow-bellied Glider,NA,Right,132,40,270,100,NA,NA,NA,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112607,BBRR_F19,340,549342,0,338,549338,BBRR-19,NA,29/4/2021,19:45:05,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud nil or light,8,339,549339,NA,NA,NA,NA,NA,NA,20:35:47,NA,340,549342,3,20:04:36,Heard,Southern Boobook,NA,Right,133,80,210,150,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112606,BBRR_F26,340,549336,0,338,549334,BBRR-26,NA,29/4/2021,01:25:26,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud nil or light,6,339,549335,NA,NA,NA,NA,NA,NA,02:15:14,NA,340,549336,1,01:30:56,Seen,Southern Greater Glider,NA,Left,127,20.8,280,29,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112606,BBRR_F26,340,549337,0,338,549334,BBRR-26,NA,29/4/2021,01:25:26,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud nil or light,6,339,549335,NA,NA,NA,NA,NA,NA,02:15:14,NA,340,549337,2,02:04:42,Heard,Mountain Brush-tailed Possum,NA,Right,128,30,100,364,NA,NA,No,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112605,BBRR_F34,340,549333,0,338,549331,BBRR-34,NA,28/4/2021,22:50:19,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud nil or light,6,339,549332,NA,NA,NA,NA,NA,NA,23:40:08,NA,340,549333,1,23:18:47,Heard@-@Seen,Mountain Brush-tailed Possum,NA,Left,124,115,190,277,Acacia sp.,NA,No,NA,NA,Dead acacia
5,Arthur Rylah Institute,679,Daniel,135,NA,112604,BBRR_F36,340,549327,0,338,549325,BBRR-36,NA,28/4/2021,20:15:03,Dan Purdey,NA,2,Other,Wind nil or light@-@Cloud nil or light,7,339,549326,NA,NA,NA,NA,NA,NA,21:46:00,NA,340,549327,1,21:23:57,Heard,Southern Boobook,NA,Left,119,200,300,400,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112604,BBRR_F36,340,549328,0,338,549325,BBRR-36,NA,28/4/2021,20:15:03,Dan Purdey,NA,2,Other,Wind nil or light@-@Cloud nil or light,7,339,549326,NA,NA,NA,NA,NA,NA,21:46:00,NA,340,549328,2,21:26:04,Heard,Southern Boobook,NA,Left,120,150,335,400,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112604,BBRR_F36,340,549329,0,338,549325,BBRR-36,NA,28/4/2021,20:15:03,Dan Purdey,NA,2,Other,Wind nil or light@-@Cloud nil or light,7,339,549326,NA,NA,NA,NA,NA,NA,21:46:00,NA,340,549329,3,21:39:20,Seen,Southern Greater Glider,NA,NA,121,84,0,500,NA,NA,No,NA,NA,Beyond end of transect
5,Arthur Rylah Institute,679,Daniel,135,NA,112604,BBRR_F36,340,549330,0,338,549325,BBRR-36,NA,28/4/2021,20:15:03,Dan Purdey,NA,2,Other,Wind nil or light@-@Cloud nil or light,7,339,549326,NA,NA,NA,NA,NA,NA,21:46:00,NA,340,549330,4,21:39:20,Seen,Southern Greater Glider,NA,NA,122,84,0,500,NA,NA,No,NA,NA,Beyond end of transect
5,Arthur Rylah Institute,679,Daniel,135,NA,112603,BBRR_F35,340,549322,0,338,549320,BBRR-35,NA,27/4/2021,23:05:34,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud full cover,6,339,549321,0-25%,NA,NA,NA,NA,NA,00:20:39,NA,340,549322,1,23:47:01,Seen,Mountain Brush-tailed Possum,NA,Left,114,38.5,335,262,NA,NA,No,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112603,BBRR_F35,340,549323,0,338,549320,BBRR-35,NA,27/4/2021,23:05:34,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud full cover,6,339,549321,0-25%,NA,NA,NA,NA,NA,00:20:39,NA,340,549323,2,23:54:45,Seen,Mountain Brush-tailed Possum,NA,Left,115,52.5,50,293,NA,NA,NA,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112603,BBRR_F35,340,549324,0,338,549320,BBRR-35,NA,27/4/2021,23:05:34,Dan Purdey,NA,1,Other,Wind nil or light@-@Cloud full cover,6,339,549321,0-25%,NA,NA,NA,NA,NA,00:20:39,NA,340,549324,3,00:06:36,Seen,Mountain Brush-tailed Possum,NA,Left,116,25,290,386,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,679,Daniel,135,NA,112602,BBRR_F50,339,549319,0,338,549318,BBRR-50,NA,27/4/2021,19:25:37,Dan Purdey,NA,1,Other,NA,8,339,549319,NA,NA,NA,NA,NA,NA,20:41:57,No animals seen or heard,340,549324,3,00:06:36,Seen,Mountain Brush-tailed Possum,NA,Left,116,25,290,386,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112178,BBRR_F18,340,547523,0,338,547521,BBRR-18,NA,30/4/2021,22:10:01,Jemma Cripps,NA,2,Thr. Sp. 3,Wind moderate@-@Cloud nil or light,10,339,547522,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,22:58:29,Transect on road. Wind gusting at times. Site low severity burnt one side of the road. Looks like it should have GGs.,340,547523,1,22:20:44,Heard,Yellow-bellied Glider,NA,Left,278,40,172,80,NA,NA,Yes,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112178,BBRR_F18,340,547524,0,338,547521,BBRR-18,NA,30/4/2021,22:10:01,Jemma Cripps,NA,2,Thr. Sp. 3,Wind moderate@-@Cloud nil or light,10,339,547522,76-100%,76-100%,76-100%,76-100%,76-100%,76-100%,22:58:29,Transect on road. Wind gusting at times. Site low severity burnt one side of the road. Looks like it should have GGs.,340,547524,2,22:26:00,Seen,Eastern Ring-tailed Possum,NA,Right,279,15.6,316,103,Acacia sp.,NA,Yes,NA,NA,Perpendicular measurement.
5,Arthur Rylah Institute,27,ARI,135,NA,112177,BBRR_F15,340,547519,0,338,547517,BBRR-15,NA,30/4/2021,18:55:45,Jemma Cripps,NA,1,Thr. Sp. 3,Wind nil or light@-@Cloud nil or light,10,339,547518,51-75%,51-75%,51-75%,76-100%,76-100%,51-75%,19:51:29,Transect along the road. Some thick acacia along rd which makes it hard to see long distances into forest (upslope). Visibility is good into the gully. Lots of huge shining gums. Would classify as unburnt but small patches of low severity near start pt. No GGs seen but id be very surpised if they weren't there.,340,547519,1,19:14:21,Heard,Sugar Glider,NA,Left,275,150,NA,200,NA,NA,No,NA,NA,Quite faint.
5,Arthur Rylah Institute,27,ARI,135,NA,112177,BBRR_F15,340,547520,0,338,547517,BBRR-15,NA,30/4/2021,18:55:45,Jemma Cripps,NA,1,Thr. Sp. 3,Wind nil or light@-@Cloud nil or light,10,339,547518,51-75%,51-75%,51-75%,76-100%,76-100%,51-75%,19:51:29,Transect along the road. Some thick acacia along rd which makes it hard to see long distances into forest (upslope). Visibility is good into the gully. Lots of huge shining gums. Would classify as unburnt but small patches of low severity near start pt. No GGs seen but id be very surpised if they weren't there.,340,547520,2,19:35:38,Seen,Eastern Ring-tailed Possum,NA,Left,276,10,18,400,NA,NA,No,NA,NA,NA
5,Arthur Rylah Institute,27,ARI,135,NA,112176,BBRR_F20,340,547513,0,338,547511,BBRR-20,NA,29/4/2021,21:50:40,Jemma Cripps,NA,1,Thr. Sp. 3,Wind moderate@-@Cloud nil or light,8,339,547512,76-100%,76-100%,76-100%,26-50%,26-50%,76-100%,23:09:22,Site has been burnt at low severity & has patches of old forest and younger logging regrowth. Possibly caught glimpse of another glider around the 200m mark but it was only eyes through very dense vegetation - tried but couldnt find it again.,340,547513,1,22:02:36,Seen,Southern Greater Glider,NA,Right,271,34.4,246,68,Gum sp.,NA,Yes,NA,NA,Pair- both dark morphs. One likely a juvenile as three quarters the size of the other.
5,Arthur Rylah Institute,27,ARI,135,NA,112176,BBRR_F20,340,547514,0,338,547511,BBRR-20,NA,29/4/2021,21:50:40,Jemma Cripps,NA,1,Thr. Sp. 3,Wind moderate@-@Cloud nil or light,8,339,547512,76-100%,76-100%,76-100%,26-50%,26-50%,76-100%,23:09:22,Site has been burnt at low severity & has patches of old forest and younger logging regrowth. Possibly caught glimpse of another glider around the 200m mark but it was only eyes through very dense vegetation - tried but couldnt find it again.,340,547514,1,22:02:36,Seen,Southern Greater Glider,NA,Right,271,34.4,246,68,Gum sp.,NA,Yes,NA,NA,Pair- both dark morphs. One likely a juvenile as three quarters the size of the other.
5,Arthur Rylah Institute,27,ARI,135,NA,112176,BBRR_F20,340,547515,0,338,547511,BBRR-20,NA,29/4/2021,21:50:40,Jemma Cripps,NA,1,Thr. Sp. 3,Wind moderate@-@Cloud nil or light,8,339,547512,76-100%,76-100%,76-100%,26-50%,26-50%,76-100%,23:09:22,Site has been burnt at low severity & has patches of old forest and younger logging regrowth. Possibly caught glimpse of another glider around the 200m mark but it was only eyes through very dense vegetation - tried but couldnt find it again.,340,547515,3,22:19:22,Seen,Sugar Glider,NA,Right,272,24.4,322,173,Gum sp.,NA,No,NA,NA,NA
